Data ID,BPM,IBI,PPG_Rate_Mean,HRV_MedianNN,HRV_Prc20NN,HRV_MinNN,HRV_HTI,HRV_TINN,HRV_LF,HRV_VHF,HRV_LFn,HRV_HFn,HRV_LnHF,HRV_SD1SD2,HRV_CVI,HRV_PSS,HRV_PAS,HRV_PI,HRV_C1d,HRV_C1a,HRV_DFA_alpha1,HRV_MFDFA_alpha1_Width,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Asymmetry,HRV_ApEn,HRV_ShanEn,HRV_FuzzyEn,HRV_MSEn,HRV_CMSEn,HRV_RCMSEn,HRV_CD,HRV_HFD,HRV_KFD,HRV_LZC,Participant ID,Video ID,Gender,CMA,Video_ID_number,Valence,Arousal,Dominance,significance,arousal_category,valence_category,CMA_numeric,task_valence,taskwiselabel,three_class_label
1001,0.3915265788278055,0.5312499999999999,0.7878398046548131,0.1581027667984189,0.2655889145496536,0.736842105263158,0.1142360612872882,0.1160714285714285,0.2542735260901759,0.1380131448576551,0.5007570212902794,0.409007942042717,0.7861373129761795,0.4552072850527026,0.2218241932038864,0.7631578947368425,0.7587639752978718,0.5797900765694286,0.6689229082882016,0.3310770917117986,0.4587858261984234,0.3988849271668864,0.3026239039111608,0.5328878607590395,0.4403698848186549,0.277764110942669,0.7804643313968372,0.7363903795327428,0.1941800743106956,0.2089566370003108,0.1495348968232996,0.6132172712100243,0.4029107754192861,0.3546122787741733,0.6063464758339769,0.1538094251146197,0.5019882272832434,1,1,Male,LVLA,1,4.0,3.0,2.0,3.0,0,1,0,1,0,1
1002,0.4822807814629712,0.4791666666666666,0.7485286388876361,0.1897233201581026,0.2979214780600462,0.6842105263157894,0.0539868801694984,0.0982142857142857,0.7445139242698708,0.2075827004942257,0.4992293337325784,0.6846658863821973,0.9286679243306444,0.5888850349601773,0.2425895764150027,0.5157894736842108,0.2990275356535254,0.1947675270266309,0.5588792281696557,0.4411207718303438,0.2263225354645099,0.4815044382953881,0.3008000674433667,0.3441487434091108,0.5050186390894656,0.4137232451760366,0.5653797802233713,0.8730464610745686,0.3263671586725145,0.3941929149205382,0.7177256113277091,0.7528679518290823,0.5830701777219165,0.619320914616476,0.742883758114055,0.1762083755430002,0.6007130310784927,1,2,Male,LVLA,2,3.0,4.0,4.0,3.0,1,0,0,1,0,1
1003,0.3998182644252612,0.5260416666666666,0.7794563725081113,0.1660079051383398,0.277136258660508,0.6842105263157894,0.1181308607051181,0.1696428571428571,0.2964272582362707,0.0475761115707227,0.5835247470375706,0.51754727918647,0.8084643246498533,0.3838788003346767,0.1822075768139692,0.3623648161499639,0.3538822888654389,0.3388091122541654,1.0000000000000002,0.0,0.455677815979456,0.4598238039606456,0.2890621251279699,0.6046679450582292,0.2432857887726698,0.1322191746315408,0.8275004611420649,0.9445446673620403,0.2240069396091373,0.3534166648814417,0.4099621860464162,0.8266689914395426,0.609936870992918,0.3633811674878486,0.6606688458568781,0.0807012840058507,0.665079100228742,1,3,Male,LVHA,3,3.0,3.0,3.0,2.0,0,0,1,1,0,0
1004,0.4168559745570196,0.515625,0.79155030762729,0.1660079051383398,0.277136258660508,0.7543859649122806,0.1197897567534531,0.0892857142857143,0.881907889409407,0.1639867733340438,0.6579658039868679,0.5495424881898086,0.90154794613475,0.4863529304068039,0.0294555972017196,0.5738866396761133,0.5000109685203465,0.3289049075897909,0.454668633312655,0.5453313666873447,0.471350484001268,0.2515705475546682,0.233363487279417,0.4902812709351483,0.5399097706489706,0.2931047121383347,0.9534558876110628,0.9475055500901284,0.1656489969471672,0.9061466852684914,0.8177195261372937,0.8767551460757091,0.7956700847006379,0.8884078763827666,0.6282020908363481,0.4463587434703879,0.7011904007718539,1,4,Male,LVHA,4,2.0,2.0,4.0,1.0,0,0,1,1,0,0
1005,0.3834620626987731,0.5364583333333333,0.7660521158913527,0.1897233201581026,0.3233256351039261,0.736842105263158,0.0617283950617283,0.1071428571428571,0.4717143709267374,0.1290786764120921,0.4988304187099208,0.7069480260013034,0.8907292107934973,0.4275286978030703,0.0364734336277816,0.6447368421052633,0.2318645487451015,0.3581480287893437,0.5464658941845759,0.4535341058154236,0.2242577224709538,0.401149167932871,0.1755030923008583,0.3893398624956468,0.4188821974989076,0.3004462151285145,0.7565450210350029,0.5394604132495758,0.1551411435092859,0.8768575279178374,0.9592344695101546,0.8146700739561237,0.7271669552554513,1.0,0.6158982052302768,0.3873142003477091,0.7682323608362984,1,5,Male,HVHA,5,3.0,3.0,3.0,4.0,0,0,1,1,1,1
1006,0.367673784643344,0.546875,0.7505153893455525,0.1976284584980236,0.3117782909930716,0.8596491228070176,0.1715171517151715,0.0089285714285714,0.3402937396739208,0.0584109110288113,0.4191456735687155,0.8022697521060519,0.8867889866537142,0.6239488103893422,0.1642557948773331,0.2698435277382645,0.1373102054247167,0.1182678293995698,0.4995577339837294,0.5004422660162702,0.2558848631235383,0.4187740073797888,0.2933073177942009,0.2088042214038443,0.6614287988473,0.5795250411136708,0.4430281728386156,0.8067874144930159,0.2408714509408582,0.5646343030586798,0.3816719291217755,0.8272495827710776,0.6247689522668912,0.5817783700805252,0.7757587003681774,0.1039038187495966,0.6841674078419047,1,6,Male,HVLA,6,3.0,3.0,3.0,3.0,0,0,0,0,1,2
1007,0.3755111313039527,0.5416666666666666,0.7400832397018617,0.1818181818181817,0.2886836027713625,0.6491228070175439,0.1476592103654809,0.1071428571428571,0.3164400774574287,0.7113770303776813,0.26840929190623,0.555367794116824,0.8816297544108396,0.7224211784758001,0.2695169375944506,0.6871052631578949,0.4973440511446434,0.3138419041480591,0.5221658858268783,0.477834114173121,0.3971328904186057,0.409642860137065,0.3966545673132617,0.4244039634729618,0.6461295148668221,0.4758417168697443,0.5642490816740175,0.7758160080836679,0.4056425417109908,0.2221245862097317,0.4339153450553893,0.7621485986746495,0.6131005580723342,0.4179850183399761,0.5024197488075215,0.1557555571212296,0.5826058684456803,1,7,Male,HVHA,7,4.0,4.0,3.0,3.0,1,1,1,1,1,1
1008,0.4256019990913221,0.5104166666666666,0.7547099262567717,0.1897233201581026,0.3002309468822169,0.6491228070175439,0.1992891596851992,0.2053571428571428,0.7205028902929626,0.3005097314293533,0.488525678555734,0.6590289035464625,0.9240587161558322,0.5481892859699247,0.1818002618674659,0.6021052631578949,0.3544734774462598,0.3838221076377697,0.487980657326309,0.5120193426736908,0.2574907171759791,0.5145597986833661,0.29519444659181,0.3449920267766946,0.4512361516354475,0.4037794615959857,0.5663739048736014,0.775971534991692,0.2977678774430059,0.4527014290876461,0.5431219092299193,0.7388147675187954,0.5626995386981161,0.5714168500226057,0.6479014666680873,0.1610673650349584,0.6114178555488385,1,8,Male,HVLA,8,4.0,2.0,3.0,3.0,0,1,0,0,1,2
2001,0.6771921853702862,0.3958333333333333,0.845723799514165,0.051383399209486,0.0808314087759815,0.1929824561403508,0.2946569166720593,0.1696428571428571,0.5787145709341497,0.331044064584546,0.413855870478487,0.6044795205775462,0.9099384394235656,0.5407583296141973,0.3684044380076212,0.7379934210526318,0.6847300878058917,0.562963713984654,0.5136622436697156,0.486337756330284,0.2867553346085831,0.2886819023575276,0.3921355211005145,0.3477776102980634,0.8202851178861869,0.5427730291953912,0.4882589766122801,0.7231181025665029,0.6878322001242265,0.2384252217605367,0.6093791874974192,0.7037173315270645,0.4631012779908128,0.4112744653801173,0.6905402750710055,0.5080314040721237,0.3920344451684598,2,1,Female,LVLA,1,2.0,3.0,5.0,4.0,0,0,0,1,0,1
2002,0.6921853702862335,0.3906249999999999,0.8664511042300597,0.0474308300395256,0.0762124711316396,0.1403508771929824,0.1909149248258159,0.1696428571428571,0.6512556101635151,0.5170554958404424,0.3002524827144198,0.7659490188547212,0.9666209887442706,0.6017426290083729,0.3323064898650412,0.7631578947368425,0.3887624151338719,0.4485207863358038,0.4950835691437132,0.5049164308562866,0.3228787590092803,0.4878798961781308,0.531041670595247,0.5294481353681793,0.7038571344389121,0.4842393736868003,0.5313335142850631,0.7044263210209034,0.5681325008828433,0.275229501747745,0.6926653131077315,0.6947014554174011,0.4925055995474958,0.5318857953942376,0.6734976756112445,0.5072680355481192,0.4267132082469191,2,2,Female,LVLA,2,1.0,3.0,4.0,4.0,0,0,0,1,0,1
2003,0.5705361199454795,0.4375,0.7583444528183297,0.0553359683794466,0.0346420323325634,0.0175438596491228,0.5687976205027909,0.2053571428571428,0.6204671052370075,0.2163634285447443,0.523098685922434,0.6089033284831147,0.8980441140407902,0.4424017673329799,0.4072918370133083,0.7578250261415129,0.5373478117801908,0.4564430735233182,0.6269970542113172,0.3730029457886823,0.4540794269095974,0.4972790960212648,0.5705289641307505,0.6791481372206418,0.8130283804683844,0.5229993542937018,0.6298987679803691,0.6893188956478372,0.8259465292399322,0.561955524626029,0.7095629121592293,0.7616053120221478,0.5402600995248689,0.3882476533780669,0.6422826451719246,0.5401898930145042,0.541404921881192,2,3,Female,LVHA,3,3.0,4.0,3.0,4.0,1,0,1,1,0,0
2004,0.7910040890504317,0.359375,0.7289350065431969,0.0948616600790513,0.0808314087759815,0.2456140350877192,0.4844151081774844,0.1875,0.6958165233109317,0.2672294454827812,0.5327705347479406,0.5764761972990987,0.9019193551462276,0.4812095996262538,0.3996701091110846,0.6140350877192984,0.5492638255865241,0.6667168642947283,0.6036656855423521,0.3963343144576481,0.4433006057819182,0.454014465220956,1.0,0.5667237941648524,0.8814534994934538,0.6204956959820898,0.1346200463628901,0.7359903892338762,0.8773356184355918,0.549257514678009,0.6454592477584851,0.7527672556998141,0.5521141942563321,0.5261230799932322,0.6455851320889279,0.5792591049077862,0.541404921881192,2,4,Female,LVHA,4,4.0,2.0,2.0,4.0,0,1,1,1,0,0
2005,0.6347114947751022,0.4114583333333333,0.825461646589999,0.0632411067193675,0.0969976905311779,0.0526315789473683,0.3619885798103619,0.2410714285714285,0.4763795846523054,0.3109545825795143,0.541015629748266,0.582169342993596,0.867618508087294,0.4877914662425635,0.3810278358951491,0.7221052631578946,0.4108843104162022,0.7276042853886486,0.5028926227693038,0.497107377230696,0.4909401131509476,0.1988881854751631,0.2101624978377778,0.4102143911097919,0.8049744684392192,0.50433851857439,0.9366877259111772,0.4601446128829776,0.5682070805473483,0.2111571858734571,0.403553042855502,0.5653971136959565,0.383541305458268,0.3063024377540853,0.4674657189502778,0.3151156824422508,0.323453607632449,2,5,Female,HVHA,5,5.0,5.0,2.0,4.0,1,1,1,1,1,1
2006,0.6347114947751022,0.4114583333333333,0.8584786705878008,0.0316205533596837,0.0346420323325634,0.1403508771929824,0.251008434176751,0.1339285714285714,0.7898998237266178,0.2401043814426293,0.6568537561484178,0.5454634259375508,0.891144586556371,0.5072650966402408,0.376632002399575,0.7582775119617224,0.8173741362290227,0.4810294820362939,0.6000895804103334,0.3999104195896654,0.4631343888958782,0.1557147476355631,0.2931069483046206,0.3610301407371296,0.9152160775527672,0.5779391254007212,0.732959549362844,0.6200678837168973,0.647393914684703,0.3960294675877415,0.5786088598736364,0.7996387188246811,0.5605760933839197,0.3991526967969842,0.6837385650117591,0.3245197343602828,0.3757116437378851,2,6,Female,HVLA,6,3.0,5.0,4.0,2.0,1,0,0,0,1,2
2007,0.6211949114039073,0.4166666666666666,0.6947094570968634,0.0869565217391303,0.1200923787528869,0.4035087719298245,0.2272032758831438,0.1339285714285714,0.0506070911172577,0.0296249517279611,0.4568998980086183,0.6361894564926386,0.6901885670956005,0.2477979689317365,0.4153363488884012,0.5305263157894742,0.2173177266958115,0.6148888172736062,0.8247786941064108,0.1752213058935885,0.2788341011199494,0.4661778888885539,0.3680806277275949,0.3345727130652739,0.717920642357413,0.608580932276534,0.497542578562794,0.5068350890710488,0.7174906246034498,0.273990474381404,0.3871716347575138,0.4690070436607712,0.2829296685098684,0.2679925028748038,0.5919602057633693,0.1684142425605807,0.2660074742230846,2,7,Female,HVHA,7,2.0,4.0,3.0,2.0,1,0,1,1,1,1
